S&P 500 Index | Index Constituents Analysis                                25-Oct-2020 17:25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Index Constituents Analysis,,,,,,,,,,,,,,,
"Report: Summary ,Currency: USD",,,,,,,,,,,,,,,
1 - 505 of 505,,,,,,,,,,,,,,,
Name,RIC,ACT_FLAG1,Last,PE,Est. PE,EPS,Ccy,DPS,Ccy,Div. Yld (%),ROE (%),P/Book,P/Sales,Weight %,Mcap
Cintas Corp,CTAS.OQ,,338.07 c,41.67,37.71,8.11,USD,2.55,USD,0.75,28.10,10.93,4.99,--,"35,370,703,568.88"
TE Connectivity Ltd,TEL.N,,106.3 c,18.57,26.78,5.72,USD,1.92,USD,1.81,18.19,3.32,2.61,--,"35,083,090,211.40"
ConocoPhillips,COP.N,,32.54 c,5.09,-35.76,6.40,USD,1.72,USD,5.29,21.49,0.99,1.07,--,"34,751,327,808.64"
Constellation Brands Inc,STZ.N,,179.46 c,--,19.50,-0.06,USD,3.00,USD,1.67,-0.10,2.85,4.14,--,"34,576,486,240.79"
O'Reilly Automotive Inc,ORLY.OQ,,466.43 c,26.08,21.05,17.88,USD,--,--,--,370.45,86.94,3.40,--,"34,546,033,936.11"
Synopsys Inc,SNPS.OQ,,226.74 c,65.67,41.00,3.45,USD,--,--,--,14.08,8.43,10.24,--,"34,410,445,363.86"
Brown-Forman Corp,BFb.N,,74.4 c,43.22,38.75,1.72,USD,0.70,USD,0.94,45.67,17.38,10.21,--,"34,326,910,259.88"
Ross Stores Inc,ROST.OQ,,95.43 c,20.75,109.69,4.60,USD,0.00,USD,0.00,49.84,10.11,2.12,--,"33,973,620,229.23"
SBA Communications Corp,SBAC.OQ,,302.11 c,235.73,"7,552.75",1.28,USD,1.86,USD,0.62,--,--,16.79,--,"33,817,754,132.06"
T. Rowe Price Group Inc,TROW.OQ,,148.1 c,17.02,16.44,8.70,USD,3.60,USD,2.43,32.23,4.73,5.98,--,"33,616,571,951.10"
Cummins Inc,CMI.N,,226.28 c,15.63,22.63,14.48,USD,5.40,USD,2.39,30.43,4.45,1.42,--,"33,416,016,891.88"
Bank of New York Mellon Corp,BK.N,,37.67 c,8.35,9.56,4.51,USD,1.24,USD,3.29,--,0.80,2.03,--,"33,370,410,766.38"
IHS Markit Ltd,INFO.N,,82.99 c,67.55,29.83,1.23,USD,0.68,USD,0.82,6.12,3.93,7.49,--,"33,059,777,392.34"
Johnson Controls International PLC,JCI.N,,44.4 c,35.29,20.18,1.26,USD,1.04,USD,2.34,5.38,1.67,1.38,--,"33,035,710,198.80"
Marriott International Inc,MAR.OQ,,101.76 c,26.82,-282.67,3.79,USD,0.00,USD,0.00,86.95,46.94,1.57,--,"33,002,301,930.24"
Sysco Corp,SYY.N,,64.8 c,154.58,34.84,0.42,USD,1.80,USD,2.78,11.77,28.44,0.62,--,"32,953,108,370.40"
Walgreens Boots Alliance Inc,WBA.OQ,,38.04 c,73.43,7.91,0.52,USD,1.87,USD,4.92,2.07,1.60,0.24,--,"32,939,431,934.64"
Agilent Technologies Inc,A.N,,106.17 c,31.52,32.92,3.37,USD,0.72,USD,0.68,23.00,6.89,6.34,--,"32,733,233,947.95"
WEC Energy Group Inc,WEC.N,,102.16 c,28.53,27.24,3.58,USD,2.53,USD,2.48,11.37,3.18,4.28,--,"32,224,791,686.96"
IQVIA Holdings Inc,IQV.N,,167.47 c,175.01,26.53,0.96,USD,--,--,--,3.00,5.35,2.90,--,"32,108,316,041.66"
Paccar Inc,PCAR.OQ,,92.64 c,13.48,24.97,6.87,USD,1.28,USD,1.38,26.10,3.30,1.25,--,"32,067,236,319.36"
Travelers Companies Inc,TRV.N,,125.97 c,12.69,14.45,9.92,USD,3.40,USD,2.70,--,1.23,1.01,--,"31,909,304,623.17"
Ford Motor Co,F.N,,8.16 c,230.12,-14.57,0.04,USD,0.00,USD,0.00,0.41,0.96,0.20,--,"31,885,501,267.20"
PPG Industries Inc,PPG.N,,134.27 c,25.73,23.76,5.22,USD,2.16,USD,1.61,25.08,6.00,2.09,--,"31,715,167,070.59"
Eversource Energy,ES.N,,91.97 c,32.67,25.20,2.81,USD,2.27,USD,2.47,7.44,2.46,3.70,--,"31,515,160,876.92"
KLA Corp,KLAC.OQ,,203.17 c,26.38,17.88,7.70,USD,3.60,USD,1.77,45.70,11.82,5.43,--,"31,513,828,322.46"
Cadence Design Systems Inc,CDNS.OQ,,112.05 c,31.78,41.50,3.53,USD,--,--,--,58.32,14.86,13.38,--,"31,254,218,550.00"
Trane Technologies PLC,TT.N,,129.22 c,23.05,33.56,5.61,USD,2.12,USD,1.64,19.18,4.26,1.86,--,"30,929,344,296.76"
Public Service Enterprise Group Inc,PEG.N,,60.92 c,18.24,17.94,3.34,USD,1.96,USD,3.22,11.49,2.04,3.06,--,"30,810,630,177.28"
Verisk Analytics Inc,VRSK.OQ,,189.25 c,70.06,38.74,2.70,USD,1.08,USD,0.57,20.77,13.59,11.79,--,"30,731,533,278.25"
Best Buy Co Inc,BBY.N,,118.21 c,20.57,16.94,5.75,USD,2.20,USD,1.86,45.42,8.79,0.70,--,"30,596,547,624.03"
Paychex Inc,PAYX.OQ,,85.03 c,27.95,30.15,3.04,USD,2.48,USD,2.92,40.66,10.99,7.57,--,"30,568,311,954.51"
Yum! Brands Inc,YUM.N,,101.28 c,24.50,31.12,4.13,USD,1.88,USD,1.86,--,--,5.45,--,"30,525,754,425.12"
Hershey Co,HSY.N,,146.34 c,26.82,24.37,5.46,USD,3.22,USD,2.20,73.28,17.50,3.81,--,"30,442,011,332.94"
Ball Corp,BLL.N,,92.72 c,55.72,33.35,1.66,USD,0.60,USD,0.65,17.67,10.27,2.64,--,"30,279,284,080.64"
Carrier Global Corp,CARR.N,,34.93 c,14.30,23.30,2.44,USD,0.32,USD,0.92,15.10,2.15,1.63,--,"30,255,142,332.24"
Motorola Solutions Inc,MSI.N,,174.78 c,35.36,23.37,4.94,USD,2.56,USD,1.46,--,--,3.76,--,"29,675,387,939.76"
Republic Services Inc,RSG.N,,92.87 c,27.86,29.44,3.33,USD,1.70,USD,1.83,13.38,3.64,2.87,--,"29,578,476,300.06"
Zimmer Biomet Holdings Inc,ZBH.N,,142.71 c,26.07,29.64,5.47,USD,0.96,USD,0.67,9.57,2.39,3.70,--,"29,548,080,953.88"
MSCI Inc,MSCI.N,,350.55 c,53.20,47.82,6.59,USD,3.12,USD,0.89,--,--,18.82,--,"29,319,013,449.00"
VF Corp,VFC.N,,74.83 c,55.88,57.56,1.34,USD,1.96,USD,2.62,13.99,8.68,2.78,--,"29,157,407,581.54"
Parker-Hannifin Corp,PH.N,,226.16 c,24.34,20.75,9.29,USD,3.52,USD,1.56,19.98,4.76,2.13,--,"29,128,971,058.88"
Kinder Morgan Inc,KMI.N,,12.78 c,13.28,15.01,0.96,USD,1.05,USD,8.22,6.50,0.86,2.19,--,"28,927,986,054.30"
Archer-Daniels-Midland Co,ADM.N,,51.87 c,20.67,16.39,2.51,USD,1.44,USD,2.78,7.43,1.50,0.45,--,"28,821,404,132.43"
Xilinx Inc,XLNX.OQ,,116.82 c,37.57,45.46,3.11,USD,1.52,USD,1.30,30.63,12.37,9.05,--,"28,627,792,380.00"
Allstate Corp,ALL.N,,91.25 c,6.51,8.13,14.03,USD,2.16,USD,2.37,--,1.10,0.64,--,"28,498,849,417.50"
Stanley Black & Decker Inc,SWK.N,,178.01 c,28.04,22.36,6.35,USD,2.80,USD,1.57,11.26,3.11,1.97,--,"28,424,947,427.45"
Microchip Technology Inc,MCHP.OQ,,112.52 c,50.52,18.91,2.23,USD,1.47,USD,1.31,10.50,5.09,5.39,--,"28,405,844,467.80"
ANSYS Inc,ANSS.OQ,,330.22 c,63.12,54.49,5.23,USD,--,--,--,14.73,8.20,18.69,--,"28,329,321,842.14"
Rockwell Automation Inc,ROK.N,,243.1 c,41.72,32.15,5.83,USD,4.08,USD,1.68,68.83,69.75,4.21,--,"28,191,569,434.60"
American Water Works Company Inc,AWK.N,,154.08 c,44.91,40.03,3.43,USD,2.20,USD,1.43,10.36,4.56,7.73,--,"27,919,922,797.44"
American International Group Inc,AIG.N,,32.38 c,8.79,13.55,3.69,USD,1.28,USD,3.95,--,0.42,0.56,--,"27,893,229,682.00"
Autozone Inc,AZO.N,,1183.16 c,16.45,15.71,71.93,USD,--,--,--,--,--,2.19,--,"27,637,879,308.16"
Otis Worldwide Corp,OTIS.N,,63.45 c,24.62,27.59,2.58,USD,0.80,USD,1.26,68.28,16.16,2.09,--,"27,478,891,419.75"
Consolidated Edison Inc,ED.N,,81.6 c,20.02,19.20,4.08,USD,3.06,USD,3.75,7.73,1.51,2.17,--,"27,294,922,152.00"
TransDigm Group Inc,TDG.N,,501.97 c,38.78,37.18,12.94,USD,--,--,--,--,--,5.21,--,"27,209,925,367.66"
Prudential Financial Inc,PRU.N,,68.73 c,6.80,7.32,10.10,USD,4.40,USD,6.40,--,0.43,0.42,--,"27,148,350,000.00"
Aptiv PLC,APTV.N,,100.29 c,26.07,80.23,3.85,USD,0.00,USD,0.00,27.21,7.09,1.89,--,"27,078,650,714.13"
Corning Inc,GLW.N,,35.56 c,33.30,27.78,1.07,USD,0.88,USD,2.47,7.19,2.10,2.35,--,"27,059,309,955.44"
Willis Towers Watson PLC,WLTW.OQ,,209.75 c,26.12,18.24,8.03,USD,2.72,USD,1.30,10.39,2.64,2.99,--,"27,028,052,336.50"
Aflac Inc,AFL.N,,37.85 c,8.55,8.05,4.43,USD,1.12,USD,2.96,--,0.93,1.21,--,"26,983,733,507.30"
Copart Inc,CPRT.OQ,,114.29 c,38.97,39.41,2.93,USD,--,--,--,32.80,10.83,12.23,--,"26,969,230,736.80"
Hormel Foods Corp,HRL.N,,49.61 c,27.63,29.71,1.80,USD,0.93,USD,1.87,16.99,4.52,2.82,--,"26,769,952,284.68"
Freeport-McMoRan Inc,FCX.N,,18.36 c,--,40.35,-0.17,USD,0.00,USD,0.00,-2.53,2.87,1.85,--,"26,662,733,936.64"
Alexion Pharmaceuticals Inc,ALXN.OQ,,121.61 c,11.37,10.88,10.70,USD,--,--,--,23.53,2.36,5.34,--,"26,653,626,462.63"
Clorox Co,CLX.N,,211.14 c,28.71,27.21,7.35,USD,4.44,USD,2.10,128.02,29.29,3.96,--,"26,598,792,225.60"
D.R. Horton Inc,DHI.N,,73.06 c,17.04,12.38,4.29,USD,0.70,USD,0.96,17.03,2.65,1.51,--,"26,572,109,252.78"
Resmed Inc,RMD.N,,183.03 c,42.88,38.70,4.27,USD,1.56,USD,0.85,27.21,10.62,8.97,--,"26,522,546,747.82"
HP Inc,HPQ.N,,19.12 c,9.48,8.73,2.02,USD,0.70,USD,3.69,--,--,0.45,--,"26,261,257,573.20"
Hilton Worldwide Holdings Inc,HLT.N,,94.61 c,31.14,350.41,3.04,USD,0.00,USD,0.00,"2,553.62",--,2.78,--,"26,236,237,792.72"
McCormick & Company Inc,MKC.N,,196.46 c,37.57,34.41,5.23,USD,2.48,USD,1.26,21.20,7.61,4.90,--,"26,196,802,825.58"
Fastenal Co,FAST.OQ,,45 c,32.68,30.61,1.38,USD,1.00,USD,2.22,31.84,9.69,4.84,--,"25,832,398,185.00"
LyondellBasell Industries NV,LYB.N,,76.9 c,7.99,16.40,9.62,USD,4.20,USD,5.46,37.20,3.19,0.74,--,"25,672,240,939.60"
Mckesson Corp,MCK.N,,156.41 c,31.42,10.29,4.98,USD,1.68,USD,1.07,13.74,4.98,0.11,--,"25,368,100,518.01"
Kroger Co,KR.N,,32.76 c,16.08,10.05,2.04,USD,0.72,USD,2.20,20.12,2.95,0.21,--,"25,366,881,037.68"
Mettler-Toledo International Inc,MTD.N,,1053.2 c,46.88,45.40,22.47,USD,--,--,--,111.02,60.00,8.39,--,"25,246,536,298.00"
Southwest Airlines Co,LUV.N,,42.79 c,10.16,-6.57,4.21,USD,0.00,USD,0.00,23.05,2.57,1.13,--,"25,240,627,501.32"
Skyworks Solutions Inc,SWKS.OQ,,149.76 c,30.33,25.87,4.94,USD,2.00,USD,1.34,20.97,6.07,7.41,--,"25,015,324,389.12"
Corteva Inc,CTVA.N,,33.17 c,--,24.21,-0.38,USD,0.52,USD,1.57,-0.58,1.02,1.79,--,"24,830,033,730.00"
AMETEK Inc,AME.N,,107.76 c,28.70,28.62,3.75,USD,0.72,USD,0.67,18.41,4.84,4.80,--,"24,744,971,365.20"
Williams Companies Inc,WMB.N,,19.96 c,28.11,26.97,0.71,USD,1.60,USD,8.02,6.17,1.81,2.95,--,"24,222,627,180.96"
DTE Energy Co,DTE.N,,125.15 c,19.84,18.68,6.31,USD,4.05,USD,3.24,10.67,2.07,1.90,--,"24,110,240,236.15"
Lennar Corp,LEN.N,,78.27 c,13.60,10.61,5.76,USD,1.00,USD,1.28,12.11,1.50,1.07,--,"23,919,620,077.07"
Old Dominion Freight Line Inc,ODFL.OQ,,200.62 c,39.31,37.74,5.10,USD,0.60,USD,0.30,21.37,7.64,5.73,--,"23,539,034,897.14"
Welltower Inc,WELL.N,,56.26 c,46.90,36.89,1.20,USD,2.44,USD,4.34,3.21,1.51,4.58,--,"23,477,337,382.00"
State Street Corp,STT.N,,65.31 c,12.15,9.98,5.38,USD,2.08,USD,3.18,--,0.94,1.96,--,"23,041,217,460.45"
Verisign Inc,VRSN.OQ,,200.8 c,27.74,28.89,7.24,USD,--,--,--,--,--,18.60,--,"22,913,261,494.40"
Kellogg Co,K.N,,66.76 c,23.85,16.95,2.80,USD,2.28,USD,3.42,35.90,8.33,1.69,--,"22,893,290,131.40"
Edison International,EIX.N,,60.49 c,16.06,13.59,3.77,USD,2.55,USD,4.22,9.98,1.48,1.85,--,"22,878,587,624.61"
Paycom Software Inc,PAYC.N,,388.65 c,125.74,118.13,3.09,USD,--,--,--,41.93,43.20,30.84,--,"22,748,816,248.80"
Church & Dwight Co Inc,CHD.N,,91.91 c,37.62,32.83,2.44,USD,0.96,USD,1.04,24.05,8.52,5.22,--,"22,730,440,773.04"
Dollar Tree Inc,DLTR.OQ,,95.47 c,27.51,18.25,3.47,USD,--,--,--,13.90,3.62,0.96,--,"22,655,765,928.06"
First Republic Bank,FRC.N,,130.98 c,25.20,22.96,5.20,USD,0.80,USD,0.61,--,2.29,6.75,--,"22,544,014,854.12"
Cerner Corp,CERN.OQ,,73.72 c,44.73,25.96,1.65,USD,0.72,USD,0.98,11.45,5.21,3.95,--,"22,512,727,939.72"
Fortive Corp,FTV.N,,66.5 c,34.45,22.58,1.93,USD,0.28,USD,0.42,10.38,3.03,3.06,--,"22,415,254,417.50"
Phillips 66,PSX.N,,50.48 c,7.35,-93.48,6.87,USD,3.60,USD,7.13,12.58,0.88,0.21,--,"22,044,447,396.80"
PPL Corp,PPL.N,,28.67 c,12.10,11.85,2.37,USD,1.66,USD,5.79,14.17,1.70,2.84,--,"22,041,024,091.80"
Weyerhaeuser Co,WY.N,,29.43 c,--,27.90,-0.10,USD,0.00,USD,0.00,-0.88,2.69,3.35,--,"21,962,637,810.00"
Tyson Foods Inc,TSN.N,,60.05 c,10.78,11.91,5.57,USD,1.68,USD,2.80,15.04,1.55,0.52,--,"21,873,900,372.75"
EOG Resources Inc,EOG.N,,37.51 c,7.97,45.74,4.71,USD,1.50,USD,4.00,13.34,1.01,1.27,--,"21,839,955,973.11"
Entergy Corp,ETR.N,,108.95 c,17.29,19.54,6.30,USD,3.72,USD,3.41,12.88,2.08,2.01,--,"21,813,023,640.85"
Fleetcor Technologies Inc,FLT.N,,259.2 c,26.08,23.87,9.94,USD,--,--,--,25.39,5.87,8.22,--,"21,786,262,848.00"
Delta Air Lines Inc,DAL.N,,34 c,4.66,-3.24,7.30,USD,0.00,USD,0.00,32.82,1.41,0.46,--,"21,682,966,234.00"
Schlumberger NV,SLB.N,,15.4 c,--,24.06,-7.32,USD,0.50,USD,3.25,-33.83,0.90,0.65,--,"21,437,262,138.60"
Marketaxess Holdings Inc,MKTX.OQ,,558.91 c,103.53,73.83,5.40,USD,2.40,USD,0.43,29.74,27.56,41.50,--,"21,222,782,408.85"
Nasdaq Inc,NDAQ.OQ,,129.12 c,27.85,21.31,4.64,USD,1.96,USD,1.52,13.96,3.76,4.98,--,"21,209,046,415.68"
Fortinet Inc,FTNT.OQ,,130.38 c,70.33,42.47,1.85,USD,--,--,--,27.82,15.96,9.79,--,"21,099,601,921.92"
Realty Income Corp,O.N,,60.75 c,44.00,42.45,1.38,USD,2.81,USD,4.62,4.89,2.14,14.05,--,"20,961,139,479.75"
Discover Financial Services,DFS.N,,68 c,7.48,22.22,9.09,USD,1.76,USD,2.59,--,1.76,1.82,--,"20,836,638,200.00"
West Pharmaceutical Services Inc,WST.N,,281.93 c,87.95,62.24,3.21,USD,0.64,USD,0.23,16.28,13.23,11.31,--,"20,817,904,603.98"
Arthur J Gallagher & Co,AJG.N,,107.92 c,30.68,24.47,3.52,USD,1.80,USD,1.67,13.85,4.01,2.87,--,"20,663,334,480.00"
Ameren Corp,AEE.N,,83.39 c,24.89,24.00,3.35,USD,2.06,USD,2.47,10.55,2.56,3.49,--,"20,603,961,923.31"
Avalonbay Communities Inc,AVB.N,,145.79 c,25.96,34.38,5.62,USD,6.36,USD,4.36,7.27,1.87,8.83,--,"20,519,003,466.61"
Ameriprise Financial Inc,AMP.N,,170.39 c,12.24,12.51,13.92,USD,4.16,USD,2.44,33.45,3.58,1.59,--,"20,492,612,248.13"
Simon Property Group Inc,SPG.N,,66.88 c,9.82,15.17,6.81,USD,5.20,USD,7.78,72.18,8.10,3.55,--,"20,458,272,313.60"
Amerisourcebergen Corp,ABC.N,,99.38 c,25.73,12.63,3.86,USD,1.68,USD,1.69,28.16,7.05,0.11,--,"20,287,611,587.10"
Alexandria Real Estate Equities Inc,ARE.N,,160.54 c,51.47,50.41,3.12,USD,4.24,USD,2.64,4.48,2.28,13.22,--,"20,246,433,549.42"
Laboratory Corporation of America Holdings,LH.N,,207.49 c,24.83,14.50,8.35,USD,--,--,--,11.33,2.67,1.75,--,"20,209,526,000.00"
Keysight Technologies Inc,KEYS.N,,107.88 c,33.18,23.01,3.25,USD,--,--,--,22.84,6.72,4.69,--,"20,188,595,343.48"
Rollins Inc,ROL.N,,60.2 c,97.35,77.18,0.62,USD,0.32,USD,0.53,26.51,24.19,9.79,--,"19,731,080,903.80"
Incyte Corp,INCY.OQ,,89.69 c,43.68,"-1,055.18",2.05,USD,--,--,--,19.76,7.55,9.09,--,"19,615,120,933.65"
Maxim Integrated Products Inc,MXIM.OQ,,72.87 c,30.28,29.74,2.41,USD,1.92,USD,2.63,37.38,11.76,8.89,--,"19,485,548,908.14"
Marathon Petroleum Corp,MPC.N,,29.89 c,7.53,-6.94,3.97,USD,2.32,USD,7.76,7.66,0.58,0.16,--,"19,449,287,508.63"
W W Grainger Inc,GWW.N,,361.03 c,23.26,22.14,15.52,USD,6.12,USD,1.70,44.97,10.45,1.69,--,"19,375,776,091.50"
Garmin Ltd,GRMN.OQ,,100.84 c,20.21,24.71,4.99,USD,2.44,USD,2.42,21.27,4.02,5.13,--,"19,284,383,953.80"
Vulcan Materials Co,VMC.N,,145.41 c,31.16,31.26,4.67,USD,1.36,USD,0.94,11.50,3.43,3.91,--,"19,259,282,437.89"
Equity Residential,EQR.N,,51.31 c,19.76,25.66,2.60,USD,2.41,USD,4.70,9.47,1.85,7.07,--,"19,098,102,180.78"
Cooper Companies Inc,COO.N,,356.45 c,38.67,37.15,9.22,USD,0.06,USD,0.02,13.29,5.24,7.17,--,"19,013,185,936.45"
CMS Energy Corp,CMS.N,,65.85 c,28.85,24.76,2.28,USD,1.63,USD,2.48,13.28,3.76,2.75,--,"18,851,583,699.90"
Take-Two Interactive Software Inc,TTWO.OQ,,164.43 c,46.40,33.66,3.54,USD,--,--,--,17.66,7.40,6.09,--,"18,800,722,964.52"
Equifax Inc,EFX.N,,152.95 c,--,24.01,-3.30,USD,1.56,USD,1.02,-14.03,7.22,5.30,--,"18,605,289,967.25"
Conagra Brands Inc,CAG.N,,38 c,22.10,15.20,1.72,USD,1.10,USD,2.89,11.01,2.36,1.68,--,"18,563,686,774.00"
CDW Corp,CDW.OQ,,130 c,26.08,22.22,4.99,USD,1.52,USD,1.17,76.14,19.31,1.03,--,"18,547,055,670.00"
International Paper Co,IP.N,,46.4 c,15.09,18.23,3.07,USD,2.05,USD,4.42,16.27,2.36,0.82,--,"18,239,508,564.80"
ViacomCBS Inc,VIAC.OQ,,29.28 c,5.60,7.09,5.23,USD,0.96,USD,3.28,27.27,1.37,0.65,--,"18,118,602,114.60"
FirstEnergy Corp,FE.N,,33.3 c,20.05,13.32,1.66,USD,1.56,USD,4.68,13.11,2.59,1.64,--,"18,052,275,853.80"
Hologic Inc,HOLX.OQ,,67.91 c,--,22.34,-0.74,USD,--,--,--,-8.74,8.31,5.22,--,"17,587,687,784.22"
Northern Trust Corp,NTRS.OQ,,84.41 c,12.74,14.55,6.63,USD,2.80,USD,3.32,13.82,1.58,2.66,--,"17,565,098,898.30"
Fifth Third Bancorp,FITB.OQ,,24.42 c,7.33,14.45,3.33,USD,1.08,USD,4.42,--,0.82,2.09,--,"17,392,925,757.24"
Akamai Technologies Inc,AKAM.OQ,,106.75 c,36.75,20.97,2.90,USD,--,--,--,13.96,4.75,6.00,--,"17,368,743,911.75"
Kansas City Southern,KSU.N,,184.46 c,34.16,26.16,5.40,USD,1.60,USD,0.87,11.67,3.90,6.02,--,"17,265,741,728.54"
Bio Rad Laboratories Inc,BIO.N,,581.71 c,9.98,72.85,58.27,USD,--,--,--,35.98,2.99,7.45,--,"17,232,485,142.32"
Amcor PLC,AMCR.N,,10.97 c,28.34,15.86,0.39,USD,0.46,USD,4.19,12.11,3.72,1.38,--,"17,206,242,263.43"
Valero Energy Corp,VLO.N,,41.97 c,7.19,-12.97,5.83,USD,3.92,USD,9.34,11.14,0.78,0.16,--,"17,113,572,789.78"
Quest Diagnostics Inc,DGX.N,,127.13 c,20.71,12.78,6.14,USD,2.24,USD,1.76,15.44,3.03,2.21,--,"17,073,893,479.03"
Teleflex Inc,TFX.N,,366.24 c,37.33,35.94,9.81,USD,1.36,USD,0.37,16.74,5.72,6.56,--,"17,036,030,827.20"
Broadridge Financial Solutions Inc,BR.N,,145.73 c,36.87,26.74,3.95,USD,2.30,USD,1.58,37.39,12.50,3.72,--,"16,831,334,091.00"
Dover Corp,DOV.N,,116.27 c,25.21,21.19,4.61,USD,1.98,USD,1.70,23.37,5.52,2.35,--,"16,754,890,574.73"
Xylem Inc,XYL.N,,91.59 c,41.39,49.24,2.21,USD,1.04,USD,1.14,14.01,5.57,3.14,--,"16,482,471,645.87"
ETSY Inc,ETSY.OQ,,137.845 c,188.99,72.17,0.73,USD,--,--,--,22.71,40.45,20.10,--,"16,448,714,813.99"
Martin Marietta Materials Inc,MLM.N,,262.41 c,26.93,27.36,9.74,USD,2.28,USD,0.87,11.88,3.05,3.45,--,"16,339,970,240.55"
Tractor Supply Co,TSCO.OQ,,139.82 c,30.02,20.96,4.66,USD,1.60,USD,1.14,35.95,10.39,1.95,--,"16,288,665,629.08"
Arista Networks Inc,ANET.N,,214.11 c,20.15,24.67,10.63,USD,--,--,--,34.13,5.62,6.75,--,"16,277,841,216.00"
Tyler Technologies Inc,TYL.N,,404.4 c,110.69,74.61,3.65,USD,--,--,--,9.96,10.06,14.98,--,"16,273,376,689.20"
Fox Corp,FOXA.OQ,,27.08 c,16.70,13.97,1.62,USD,0.46,USD,1.70,9.97,1.61,1.32,--,"16,206,440,286.05"
Fox Corp,FOX.OQ,,26.935 c,16.70,13.89,1.62,USD,0.46,USD,1.71,9.97,1.61,1.32,--,"16,206,440,286.05"
Zebra Technologies Corp,ZBRA.OQ,,303.72 c,30.14,27.12,10.08,USD,--,--,--,34.28,8.81,3.61,--,"16,200,377,419.68"
Synchrony Financial,SYF.N,,27.75 c,4.99,15.77,5.56,USD,0.88,USD,3.17,--,1.07,0.94,--,"16,200,233,189.25"
Expeditors International of Washington Inc,EXPD.OQ,,95.2 c,28.09,25.66,3.39,USD,1.04,USD,1.09,28.24,7.27,1.95,--,"15,961,156,220.80"
Ingersoll Rand Inc,IR.N,,38.27 c,50.25,30.49,0.76,USD,--,--,--,8.97,8.54,6.51,--,"15,960,851,029.87"
Steris plc,STE.N,,187.54 c,39.40,32.62,4.76,USD,1.60,USD,0.85,12.40,4.70,5.26,--,"15,950,858,936.62"
Ventas Inc,VTR.N,,42.24 c,36.08,43.77,1.17,USD,1.80,USD,4.26,4.10,1.47,4.07,--,"15,759,218,323.20"
Varian Medical Systems Inc,VAR.N,,172.56 c,53.20,45.41,3.24,USD,--,--,--,17.78,8.90,4.88,--,"15,730,801,002.96"
CBRE Group Inc,CBRE.N,,46.66 c,12.39,20.38,3.77,USD,--,--,--,22.96,2.51,0.65,--,"15,644,062,008.02"
NVR Inc,NVR.N,,4205.99 c,19.02,18.28,221.13,USD,--,--,--,42.34,6.68,2.11,--,"15,639,498,538.13"
Domino's Pizza Inc,DPZ.N,,394.1 c,41.23,31.85,9.56,USD,3.12,USD,0.79,--,--,4.29,--,"15,527,502,954.60"
Qorvo Inc,QRVO.OQ,,135.7 c,73.01,19.28,1.86,USD,--,--,--,5.13,3.61,4.79,--,"15,501,887,757.70"
Healthpeak Properties Inc,PEAK.N,,28.77 c,320.06,43.26,0.09,USD,1.48,USD,5.14,0.76,2.55,7.75,--,"15,487,447,383.03"
Catalent Inc,CTLT.N,,94.02 c,82.78,40.01,1.14,USD,--,--,--,7.62,4.40,4.99,--,"15,432,339,283.98"
SVB Financial Group,SIVB.OQ,,296.38 c,13.64,15.58,21.73,USD,--,--,--,--,2.37,4.63,--,"15,348,919,141.36"
Extra Space Storage Inc,EXR.N,,118.66 c,36.68,37.14,3.24,USD,3.60,USD,3.03,16.96,6.03,11.70,--,"15,315,435,639.26"
Teradyne Inc,TER.OQ,,92 c,35.32,20.47,2.60,USD,0.40,USD,0.43,31.14,10.32,6.66,--,"15,274,974,820.00"
Citrix Systems Inc,CTXS.OQ,,122.715 c,24.39,20.57,5.03,USD,1.40,USD,1.14,98.16,18.10,5.04,--,"15,159,227,907.42"
Nucor Corp,NUE.N,,50.19 c,12.13,19.05,4.14,USD,1.61,USD,3.21,12.62,1.46,0.67,--,"15,152,113,914.63"
Tiffany & Co,TIF.N,,123.54 c,27.76,58.30,4.45,USD,2.32,USD,1.88,16.80,4.51,3.39,--,"14,993,874,990.90"
Carmax Inc,KMX.N,,90.95 c,17.08,21.41,5.33,USD,--,--,--,24.94,3.96,0.73,--,"14,923,702,008.85"
Baker Hughes Co,BKR.N,,14.29 c,62.18,54.96,0.23,USD,0.72,USD,5.04,0.37,0.43,0.62,--,"14,772,330,684.38"
Campbell Soup Co,CPB.N,,48.55 c,24.93,16.51,1.95,USD,1.40,USD,2.88,32.30,5.73,1.69,--,"14,675,263,215.85"
Hartford Financial Services Group Inc,HIG.N,,40.61 c,7.18,8.56,5.66,USD,1.30,USD,3.20,--,0.89,0.70,--,"14,546,356,007.05"
Pool Corp,POOL.OQ,,361.71 c,56.51,42.68,6.40,USD,2.32,USD,0.64,82.55,35.34,4.53,--,"14,495,844,384.54"
IDEX Corp,IEX.N,,191.63 c,34.46,39.79,5.56,USD,2.00,USD,1.04,19.97,6.39,5.80,--,"14,470,059,868.30"
Duke Realty Corp,DRE.N,,38.95 c,33.10,82.87,1.18,USD,0.94,USD,2.41,8.86,2.88,14.82,--,"14,433,381,525.75"
Cardinal Health Inc,CAH.N,,49.34 c,--,9.02,-12.61,USD,1.94,USD,3.94,-91.07,8.07,0.09,--,"14,429,190,857.86"
