S&P 500 Index | Index Constituents Analysis                                25-Oct-2020 17:25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Index Constituents Analysis,,,,,,,,,,,,,,,
"Report: Summary ,Currency: USD",,,,,,,,,,,,,,,
1 - 505 of 505,,,,,,,,,,,,,,,
Name,RIC,ACT_FLAG1,Last,PE,Est. PE,EPS,Ccy,DPS,Ccy,Div. Yld (%),ROE (%),P/Book,P/Sales,Weight %,Mcap
Accenture PLC,ACN.N,,229.7 c,29.10,28.59,7.89,USD,3.52,USD,1.53,32.52,8.90,3.41,--,"151,345,431,761.30"
Broadcom Inc,AVGO.OQ,,372.72 c,57.69,16.93,6.46,USD,13.00,USD,3.49,10.61,6.04,6.67,--,"150,765,736,090.32"
Medtronic PLC,MDT.N,,111.42 c,31.85,27.86,3.50,USD,2.32,USD,2.08,9.37,2.95,5.18,--,"149,772,464,380.62"
Abbvie Inc,ABBV.N,,84.34 c,15.96,8.07,5.28,USD,4.72,USD,5.60,--,--,4.47,--,"148,846,035,967.64"
United Parcel Service Inc,UPS.N,,171.9 c,33.64,24.08,5.11,USD,4.04,USD,2.35,141.22,45.43,2.00,--,"148,414,245,699.60"
Nextera Energy Inc,NEE.N,,303.07 c,38.14,33.05,7.95,USD,1.40,USD,0.46,10.84,4.01,7.73,--,"148,397,546,926.27"
Qualcomm Inc,QCOM.OQ,,128.88 c,35.85,32.88,3.60,USD,2.60,USD,2.02,153.46,29.62,7.43,--,"145,410,904,681.20"
Exxon Mobil Corp,XOM.N,,34.16 c,10.73,-103.52,3.19,USD,3.48,USD,10.19,7.09,0.75,0.57,--,"144,436,449,118.08"
Chevron Corp,CVX.N,,72.57 c,46.98,-163.08,1.54,USD,5.16,USD,7.11,1.96,0.97,1.00,--,"139,700,529,656.01"
T-Mobile US Inc,TMUS.OQ,,112.38 c,27.98,61.08,4.02,USD,--,--,--,12.96,4.83,3.09,--,"139,104,967,103.88"
Texas Instruments Inc,TXN.OQ,,149.96 c,28.63,27.36,5.24,USD,4.08,USD,2.72,56.05,15.45,9.57,--,"137,654,601,814.80"
Eli Lilly and Co,LLY.N,,142.38 c,28.72,19.56,4.96,USD,2.96,USD,2.08,74.59,52.24,6.10,--,"136,182,251,565.36"
Bristol-Myers Squibb Co,BMY.N,,60.13 c,29.93,9.62,2.01,USD,1.80,USD,2.99,10.48,2.63,5.18,--,"135,529,089,602.55"
Amgen Inc,AMGN.OQ,,227.16 c,17.64,14.45,12.88,USD,6.40,USD,2.82,70.73,13.75,5.69,--,"133,046,197,929.00"
Lowe's Companies Inc,LOW.N,,172.14 c,31.38,20.19,5.49,USD,2.40,USD,1.39,152.46,65.97,1.80,--,"130,092,402,958.44"
Union Pacific Corp,UNP.N,,188.14 c,22.44,23.68,8.38,USD,3.88,USD,2.06,30.71,6.99,5.84,--,"126,781,688,261.10"
Honeywell International Inc,HON.N,,175.54 c,21.87,25.55,8.03,USD,3.72,USD,2.12,31.97,6.66,3.36,--,"123,191,016,784.10"
Linde PLC,LIN.N,,234.27 c,58.51,30.11,4.00,USD,3.85,USD,1.64,4.34,2.51,4.36,--,"123,076,094,696.64"
Charter Communications Inc,CHTR.OQ,,593.28 c,79.60,45.97,7.45,USD,--,--,--,4.93,3.87,2.66,--,"121,562,583,137.28"
Philip Morris International Inc,PM.N,,74.45 c,16.16,14.56,4.61,USD,4.80,USD,6.45,--,--,3.89,--,"115,940,044,770.95"
Starbucks Corp,SBUX.OQ,,90.8 c,31.11,93.61,2.92,USD,1.80,USD,1.98,--,--,4.00,--,"106,145,200,000.00"
American Tower Corp,AMT.N,,237.72 c,56.10,56.60,4.24,USD,4.56,USD,1.92,36.33,20.86,13.91,--,"105,445,611,114.48"
Lockheed Martin Corp,LMT.N,,374.33 c,17.05,15.28,21.95,USD,10.40,USD,2.78,275.60,33.49,1.75,--,"104,731,450,014.51"
International Business Machines Corp,IBM.N,,116 c,10.81,13.85,10.73,USD,6.52,USD,5.62,50.91,4.96,1.34,--,"103,307,134,768.00"
ServiceNow Inc,NOW.N,,514.01 c,161.76,116.11,3.18,USD,--,--,--,38.70,46.33,28.49,--,"98,587,118,000.00"
3M Co,MMM.N,,169.8 c,21.74,20.30,7.81,USD,5.88,USD,3.46,46.02,9.72,3.04,--,"97,808,101,251.60"
BlackRock Inc,BLK.N,,637.31 c,22.42,19.88,28.43,USD,14.52,USD,2.28,13.58,2.90,6.68,--,"97,187,482,595.93"
Advanced Micro Devices Inc,AMD.OQ,,81.96 c,279.86,74.51,0.29,USD,--,--,--,16.03,34.04,14.30,--,"96,225,688,197.48"
Wells Fargo & Co,WFC.N,,23.28 c,5.74,66.51,4.05,USD,0.40,USD,1.72,--,0.51,1.13,--,"95,914,696,604.40"
Raytheon Technologies Corp,RTX.N,,62.57 c,9.76,21.21,6.41,USD,1.90,USD,3.04,13.80,2.29,1.24,--,"95,585,388,241.66"
